City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
229,Tiarei,PF,-17.5333,-149.3333,82.42,70,48,18.25,scattered clouds
230,Rocky Mountain House,CA,52.3668,-114.9188,78.84,36,1,7.02,clear sky
231,Nyborg,DK,55.3127,10.7896,64.92,80,69,8.12,broken clouds
232,Novopokrovka,UA,49.8425,36.5477,68.38,72,75,5.32,broken clouds
233,Kampot,KH,10.6167,104.1833,82.45,84,100,9.62,moderate rain
234,Ndioum,SN,16.5129,-14.6471,87.15,53,100,18.14,overcast clouds
235,Lensk,RU,60.7253,114.9278,65.14,42,7,4.54,clear sky
236,Alice Springs,AU,-23.7,133.8833,60.35,36,0,0.0,clear sky
237,Clyde River,CA,70.4692,-68.5914,38.59,86,39,7.18,scattered clouds
238,Dingle,PH,10.9995,122.6711,81.12,85,99,8.16,overcast clouds
239,Mount Isa,AU,-20.7333,139.5,64.17,39,4,3.44,clear sky
240,Turukhansk,RU,65.8167,87.9833,56.52,89,98,7.74,overcast clouds
241,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,93,0,19.57,clear sky
242,Road Town,VG,18.4167,-64.6167,83.19,78,40,10.36,scattered clouds
243,Dicabisagan,PH,17.0818,122.4157,83.66,76,100,1.9,overcast clouds
244,Blythe,US,33.6103,-114.5964,97.25,30,1,0.0,clear sky
245,Lompoc,US,34.6391,-120.4579,91.13,73,90,14.97,mist
246,Ravar,IR,31.2656,56.8055,77.14,31,1,0.27,clear sky
247,Saint Anthony,US,45.0205,-93.218,80.94,52,40,1.99,haze
248,Gizo,SB,-8.103,156.8419,82.18,77,67,10.58,light rain
249,Kuandian,CN,40.7286,124.7847,72.66,94,92,9.73,overcast clouds
250,Port Elizabeth,ZA,-33.918,25.5701,55.09,77,5,7.45,clear sky
251,Tarko-Sale,RU,64.9225,77.785,50.05,82,22,7.76,few clouds
252,Safakulevo,RU,54.9901,62.5442,59.45,95,2,8.52,clear sky
253,Sisimiut,GL,66.9395,-53.6735,55.49,59,50,0.69,scattered clouds
254,Newport,GB,51.5877,-2.9984,61.86,87,99,7.18,overcast clouds
255,Leningradskiy,RU,69.3833,178.4167,33.31,98,100,19.95,light snow
256,Saryg-Sep,RU,51.5,95.6,56.07,53,100,2.62,overcast clouds
257,Anadyr,RU,64.75,177.4833,45.1,70,75,13.0,broken clouds
258,Selfoss,IS,63.9331,-20.9971,59.04,88,74,2.19,broken clouds
259,Oranjemund,NA,-28.55,16.4333,65.07,36,0,4.34,clear sky
260,Saint-Pierre,RE,-21.3393,55.4781,67.68,78,40,19.57,scattered clouds
261,Sangin,AF,32.0728,64.8359,83.32,18,0,3.53,clear sky
262,Paamiut,GL,61.994,-49.6678,45.57,86,100,6.4,light rain
263,Krivodanovka,RU,55.0881,82.6551,51.89,87,0,2.24,clear sky
264,Nanning,CN,22.8167,108.3167,81.09,89,99,7.38,overcast clouds
265,Salinas,US,36.6777,-121.6555,94.23,59,1,17.27,clear sky
266,Haldwani,IN,29.2167,79.5167,77.05,81,89,3.24,overcast clouds
267,Malkangiri,IN,18.35,81.9,74.64,92,100,4.85,overcast clouds
268,Ca Mau,VN,9.1769,105.15,77.95,92,100,5.28,overcast clouds
269,Hervey Bay,AU,-25.2986,152.8535,63.01,77,0,1.01,clear sky
270,Camacupa,AO,-12.0167,17.4833,55.98,28,1,4.85,clear sky
271,Manta,EC,-0.95,-80.7333,73.22,85,95,9.37,overcast clouds
272,Kikwit,CD,-5.041,18.8162,78.12,31,2,2.26,clear sky
273,Dalmatovo,RU,56.26,62.9362,57.78,97,10,7.61,clear sky
274,Lorengau,PG,-2.0226,147.2712,83.82,72,61,4.32,broken clouds
275,Doka,SD,13.5167,35.7667,69.39,95,100,9.86,overcast clouds
276,Mega,ET,4.05,38.3,56.39,75,95,15.64,overcast clouds
277,Ambunti,PG,-4.2365,142.8448,75.83,95,93,1.21,overcast clouds
278,Salinopolis,BR,-0.6136,-47.3561,79.2,82,11,8.61,few clouds
279,Khatanga,RU,71.9667,102.5,76.37,45,23,12.5,few clouds
280,Jefferson City,US,38.5767,-92.1735,89.58,61,1,5.99,clear sky
281,Esperance,AU,-33.8667,121.9,45.34,86,64,14.74,broken clouds
282,Kawalu,ID,-7.3817,108.2082,71.53,97,93,1.79,overcast clouds
283,Bismarck,US,46.8083,-100.7837,88.88,40,20,3.0,smoke
284,Illapel,CL,-31.6308,-71.1653,58.12,56,0,2.84,clear sky
285,Paso De Los Toros,UY,-32.8167,-56.5167,45.32,72,0,7.16,clear sky
286,Pundaguitan,PH,6.3711,126.1689,83.93,75,80,9.26,moderate rain
287,Itaborai,BR,-22.7444,-42.8594,60.37,73,31,3.06,scattered clouds
288,Aksu,CN,41.1231,80.2644,77.54,31,99,6.67,overcast clouds
289,Brusque,BR,-27.0981,-48.9175,56.79,82,1,1.36,clear sky
290,Laguna,US,38.421,-121.4238,110.14,22,1,5.01,clear sky
291,Kaputa,ZM,-8.4689,29.6619,66.83,48,0,5.84,clear sky
292,Lata,PT,40.1629,-8.3327,63.05,97,17,4.63,few clouds
293,Juneau,US,58.3019,-134.4197,74.84,66,75,5.75,broken clouds
294,Nouadhibou,MR,20.931,-17.0347,69.1,93,4,19.08,clear sky
295,Pisco,PE,-13.7,-76.2167,62.65,77,40,18.41,scattered clouds
296,Aswan,EG,24.0934,32.907,88.59,20,63,8.28,broken clouds
297,Kalmunai,LK,7.4167,81.8167,78.69,79,0,3.6,clear sky
298,Padang,ID,-0.9492,100.3543,76.15,84,72,3.65,broken clouds
299,Kudahuvadhoo,MV,2.6708,72.8944,81.9,73,100,4.14,overcast clouds
300,Kuytun,RU,54.3419,101.5036,55.87,84,79,3.24,broken clouds
301,Taoudenni,ML,22.6783,-3.9836,95.36,28,15,10.27,few clouds
302,Am Timan,TD,11.0297,20.2827,75.25,88,100,2.64,light rain
303,Brufut,GM,13.3814,-16.7518,73.49,100,75,0.0,broken clouds
304,Taga,RO,46.95,24.05,66.69,58,0,1.39,clear sky
305,Abrau-Dyurso,RU,44.69,37.59,65.66,71,0,1.72,clear sky
306,Hobyo,SO,5.3505,48.5268,76.39,77,100,24.09,overcast clouds
307,Tuatapere,NZ,-46.1333,167.6833,49.82,95,100,4.12,moderate rain
308,Batemans Bay,AU,-35.7167,150.1833,59.09,43,79,6.53,broken clouds
309,Canico,PT,32.6333,-16.85,72.68,80,40,20.71,scattered clouds
310,Shache,CN,38.4167,77.2406,79.29,31,36,4.03,scattered clouds
311,Atar,MR,20.5169,-13.0499,97.65,18,36,6.24,scattered clouds
312,Hasaki,JP,35.7333,140.8333,79.29,77,2,12.15,clear sky
313,Mahebourg,MU,-20.4081,57.7,66.25,63,49,16.78,scattered clouds
314,Gorontalo,ID,0.5412,123.0595,76.73,91,58,1.97,broken clouds
315,Finschhafen,PG,-6.6024,147.8681,80.33,82,95,9.62,moderate rain
316,Kuliyapitiya,LK,7.4688,80.0401,82.08,92,7,4.99,clear sky
317,Kirakira,SB,-10.4544,161.9205,82.09,75,55,8.75,broken clouds
318,Lala,PH,7.9745,123.7458,78.57,95,84,1.66,broken clouds
319,Laguna De Perlas,NI,12.3429,-83.6712,79.84,87,74,9.95,broken clouds
320,Jumla,NP,29.2747,82.1838,61.25,99,100,0.87,overcast clouds
321,Saint-Ambroise,CA,48.5501,-71.3324,57.58,82,100,10.13,overcast clouds
322,Marialva,BR,-23.485,-51.7917,54.23,37,100,4.68,overcast clouds
323,Maturin,VE,9.75,-63.1767,76.68,89,19,5.17,few clouds
324,Russell,US,32.3502,-85.1999,91.11,58,1,3.44,clear sky
325,Cabedelo,BR,-6.9811,-34.8339,75.87,82,91,11.63,overcast clouds
326,Coquimbo,CL,-29.9533,-71.3436,49.73,87,20,5.75,few clouds
327,Berlevag,NO,70.8578,29.0864,45.63,89,76,10.04,broken clouds
328,Baruni,IN,25.4833,85.9833,78.4,89,92,15.84,overcast clouds
329,Bagan,RU,54.1001,77.6646,57.52,51,29,9.66,scattered clouds
330,Ankazoabo,MG,-22.2833,44.5167,61.65,70,2,5.77,clear sky
331,Olinda,BR,-8.0089,-34.8553,74.93,73,40,11.5,scattered clouds
332,Sechura,PE,-5.5569,-80.8222,72.54,66,72,16.2,broken clouds
333,Senador Jose Porfirio,BR,-2.5908,-51.9542,74.75,92,47,3.47,light rain
334,Hualmay,PE,-11.0964,-77.6139,64.63,80,26,11.65,scattered clouds
335,Alta Floresta,BR,-9.8756,-56.0861,72.77,31,0,3.15,clear sky
336,Buala,SB,-8.145,159.5921,83.8,71,83,4.61,broken clouds
337,Kushiro,JP,42.975,144.3747,74.12,81,94,2.48,overcast clouds
338,Asau,RO,46.4333,26.4,68.4,78,1,4.03,clear sky
339,Hoquiam,US,46.9809,-123.8893,100.06,34,1,12.66,clear sky
340,Nador,MA,35.174,-2.9287,82.65,36,0,16.11,clear sky
341,San Patricio,US,28.017,-97.5169,95.72,52,79,13.42,broken clouds
342,Severo-Kurilsk,RU,50.6789,156.125,55.94,93,99,14.63,overcast clouds
343,Cayenne,GF,4.9333,-52.3333,83.08,78,40,1.01,scattered clouds
344,Luis Correia,BR,-2.8792,-41.6669,79.2,85,32,9.62,scattered clouds
345,San Cristobal,VE,7.7669,-72.225,80.78,95,53,4.59,broken clouds
346,Sinnamary,GF,5.3833,-52.95,78.78,82,13,6.31,few clouds
