City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
213,Codrington,AU,51.84,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
214,Vao,NC,67.59,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
215,Grand Gaube,MU,66.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
216,Petropavlovsk-Kamchatskiy,RU,54.19,light intensity shower rain,53.0452,158.6483,The Hotel Petropavlovsky
217,Ibra,OM,84.22,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
218,Bengkulu,ID,74.41,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
219,Guerrero Negro,MX,80.33,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
220,Barabinsk,RU,57.72,broken clouds,55.3571,78.357,Gostinichnyy Kompleks Noy
221,Cravinhos,BR,54.32,scattered clouds,-21.3403,-47.7294,Ônix Inn Hotel Cravinhos
222,Moengo,SR,73.9,overcast clouds,5.6167,-54.4,Masanga
223,Khani,GE,62.17,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
225,Asind,IN,77.67,overcast clouds,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
227,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
228,Isangel,VU,72.7,overcast clouds,-19.55,169.2667,Tanna Lodge
229,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
230,Rocky Mountain House,CA,78.84,clear sky,52.3668,-114.9188,Walking Eagle Inn & Lodge
231,Nyborg,DK,64.92,broken clouds,55.3127,10.7896,HOTEL NYBORG STRAND A/S
232,Novopokrovka,UA,68.38,broken clouds,49.8425,36.5477,Пудж дом
233,Kampot,KH,82.45,moderate rain,10.6167,104.1833,Two Moons Hotel
234,Ndioum,SN,87.15,overcast clouds,16.5129,-14.6471,l'hôtel samassa
235,Lensk,RU,65.14,clear sky,60.7253,114.9278,ТинОрС
236,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
238,Dingle,PH,81.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
239,Mount Isa,AU,64.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
240,Turukhansk,RU,56.52,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
241,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
242,Road Town,VG,83.19,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
243,Dicabisagan,PH,83.66,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
244,Blythe,US,97.25,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
245,Lompoc,US,91.13,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
246,Ravar,IR,77.14,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
247,Saint Anthony,US,80.94,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
